#id	length
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5697/ccs	1934
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5712/ccs	665
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5734/ccs	1870
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5755/ccs	530
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5815/ccs	561
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5868/ccs	599
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5874/ccs	664
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5875/ccs	3217
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5907/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5941/ccs	615
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6062/ccs	449
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6079/ccs	504
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6120/ccs	1095
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6218/ccs	493
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6303/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6308/ccs	1184
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6313/ccs	1385
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6321/ccs	790
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6350/ccs	537
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6360/ccs	853
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6393/ccs	615
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6411/ccs	881
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6424/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6429/ccs	886
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6442/ccs	1938
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6466/ccs	459
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6479/ccs	581
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6494/ccs	1646
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6499/ccs	1157
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6542/ccs	1096
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6703/ccs	1428
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6804/ccs	1159
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6853/ccs	1159
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6897/ccs	761
